stim,sent,race,glasses,tattoos,trust,trust_2nd,afro,zAfro,attract,fWHR,zfWHR,maturity,DCNum,DCNum_MatchedControl
1,1,-1,0,0,2.67,2.85,5.48,-0.8,2.43,2.13,0.41,5.42,8035,8035
2,1,-1,1,0,3.17,3.73,6.38,0.55,2,2.13,0.43,5.79,10243,10243
3,1,-1,0,0,2.8,2.85,5.86,-0.23,2.17,1.93,-0.67,6.05,21641,21641
4,1,-1,0,0,2.8,2.35,5.19,-1.23,2.04,1.97,-0.44,6.16,22762,22762
5,1,-1,0,0,2.1,2.31,6.33,0.48,2,1.96,-0.51,5.95,29315,29315
6,1,-1,0,0,2.8,3.27,5.71,-0.44,2.74,2.13,0.38,4.74,40002,40002
7,1,-1,0,0,3.07,3.35,5.62,-0.59,2.52,1.9,-0.81,5.47,44049,44049
8,1,-1,0,0,3.3,3.65,5.48,-0.8,2.61,2.07,0.11,4.53,46346,46346
9,1,-1,0,0,3.23,2.92,3.81,-3.29,2.7,2.08,0.15,5.63,46622,46622
10,1,-1,1,0,2.8,3.19,5.81,-0.3,1.61,1.93,-0.65,5.32,46651,46651
11,1,-1,0,0,3.17,3.23,5.76,-0.37,2.57,2.03,-0.15,4.74,51769,51769
12,1,-1,0,0,2.57,2.62,5.81,-0.3,2.22,1.79,-1.36,5.89,62368,62368
13,1,-1,0,0,2.47,2.85,5.86,-0.23,2.09,2.32,1.39,5.11,65135,65135
14,1,-1,0,0,2.67,2.88,5.71,-0.44,2.3,1.94,-0.6,6.05,72847,72847
15,1,-1,0,0,3.03,3.23,6.67,0.98,2.57,2.05,-0.03,5.37,75812,75812
16,1,-1,0,0,3.1,3.69,6.14,0.2,2.91,1.9,-0.79,5.11,78081,78081
17,1,-1,0,0,2.67,3.04,5.57,-0.66,2.35,2.34,1.5,4.58,81163,81163
18,1,-1,0,0,3.1,3.31,6,-0.02,2.43,1.69,-1.91,5.42,82284,82284
19,1,-1,0,0,2.7,2.92,6.14,0.2,2.65,1.82,-1.22,5.79,84643,84643
20,1,-1,0,0,3.33,3.58,6.57,0.84,3.35,2.38,1.7,4.11,86160,86160
21,1,-1,0,0,2.4,2.69,5.76,-0.37,2.78,2.03,-0.14,5.21,87429,87429
22,0,-1,0,0,3,3.62,5.76,-0.37,2.17,1.8,-1.33,5.95,15506,20101
23,0,-1,0,0,3.53,3.27,5.62,-0.59,2.78,1.93,-0.67,4.89,27921,8359
24,0,-1,0,0,3.8,3.38,6,-0.02,3.04,2.15,0.51,6.32,29850,85926
25,0,-1,1,0,3.3,3.19,5.38,-0.94,2.35,1.86,-1.03,5.26,36956,64202
26,0,-1,0,0,2.93,2.96,6.1,0.12,2.13,1.93,-0.67,5.63,39612,92241
27,0,-1,0,0,2.6,2.81,5.43,-0.87,2.39,2.07,0.08,5.42,40918,874050
28,0,-1,0,0,2.57,3.46,6.14,0.2,2.65,1.87,-0.96,5.58,46045,486001
29,0,-1,0,0,2.7,3.5,5.48,-0.8,2.22,1.63,-2.21,7,46621,45745
30,0,-1,0,0,3.23,3.15,6.52,0.76,2.13,2.32,1.41,4.84,49029,101438
31,0,-1,1,0,3.47,3.81,5.14,-1.3,2.3,1.66,-2.05,6.32,49258,44187
32,0,-1,0,0,2.57,2.92,5.19,-1.23,2.17,1.88,-0.92,5.63,52751,844189
33,0,-1,0,0,3.43,3.12,5.48,-0.8,2.61,1.71,-1.79,5.16,55142,75524
34,0,-1,0,0,2.4,3.08,6.1,0.12,2.09,2.12,0.32,5.89,56804,181000
35,0,-1,0,0,2.9,2.54,5.9,-0.16,2.13,1.8,-1.33,6.16,61286,139762
36,0,-1,0,0,3.23,3.46,6.29,0.41,3.39,1.95,-0.55,5.74,61790,65124
37,0,-1,0,0,2.6,2.54,5.33,-1.01,1.96,2.04,-0.06,5.58,65876,119088
38,0,-1,0,0,2.6,3.35,5.62,-0.59,2.65,1.81,-1.26,5.63,67231,213768
39,0,-1,0,0,2.9,2.73,5.95,-0.09,3,1.9,-0.8,5.26,68071,184139
40,0,-1,1,0,3.27,2.81,6.24,0.34,2.52,1.92,-0.69,5.05,69772,421783
41,0,-1,0,0,2.33,3,5.95,-0.09,2.04,2.02,-0.2,5.32,71959,198578
42,0,-1,1,0,2.97,2.54,5,-1.51,1.83,1.84,-1.11,4.95,73242,61903
43,1,1,0,0,2.53,2.23,1.57,-0.6,2.89,1.85,-0.53,7,11225,11225
44,1,1,0,0,2.93,2.54,1.86,-0.19,3.17,1.72,-1.24,6.26,19513,19513
45,1,1,1,0,1.93,2.35,2.67,0.95,2.17,2.08,0.72,6.21,19762,19762
46,1,1,1,0,2.93,3.54,1.67,-0.46,2.28,2,0.28,6.47,25171,25171
47,1,1,0,0,2.7,3.04,1.67,-0.46,1.61,1.79,-0.87,5.58,26985,26985
48,1,1,0,0,2.17,2.04,2.14,0.21,2.28,2.04,0.47,6.11,39763,39763
49,1,1,1,0,3.03,3,2.1,0.14,1.78,1.8,-0.85,6.53,42115,42115
50,1,1,0,0,2.63,2.5,1.48,-0.73,2.67,1.96,0.07,5.84,48606,48606
51,1,1,1,0,2.53,3.19,1.48,-0.73,2.06,2,0.28,6.63,49546,49546
52,1,1,0,0,2.67,2.85,1.95,-0.06,1.78,2.12,0.91,5.47,53779,53779
53,1,1,1,0,3.27,3.96,1.62,-0.53,2.17,1.67,-1.55,6.26,53948,53948
54,1,1,1,0,2.17,2.46,1.52,-0.66,2.06,2.19,1.33,5.95,56338,56338
