stim,sent,race,glasses,tattoos,trust,trust_2nd,afro,zAfro,attract,fWHR,zfWHR,maturity,DCNum,DCNum_MatchedControl
1,1,-1,0,0,2.666667,2.846154,5.47619,-0.799739,2.434783,2.130735,0.407365,5.421053,8035,8035
2,1,-1,1,0,3.166667,3.730769,6.380952,0.551349,2,2.134556,0.427499,5.789474,10243,10243
3,1,-1,0,0,2.8,2.846154,5.857143,-0.23086,2.173913,1.926967,-0.666401,6.052632,21641,21641
4,1,-1,0,0,2.8,2.346154,5.190476,-1.226398,2.043478,1.970453,-0.437249,6.157895,22762,22762
5,1,-1,0,0,2.1,2.307692,6.333333,0.480239,2,1.956171,-0.512511,5.947368,29315,29315
6,1,-1,0,0,2.8,3.269231,5.714286,-0.444189,2.73913,2.125988,0.382348,4.736842,40002,40002
7,1,-1,0,0,3.066667,3.346154,5.619048,-0.586409,2.521739,1.9,-0.808506,5.473684,44049,44049
8,1,-1,0,0,3.3,3.653846,5.47619,-0.799739,2.608696,2.073874,0.107731,4.526316,46346,46346
9,1,-1,0,0,3.233333,2.923077,3.809524,-3.288585,2.695652,2.08176,0.149289,5.631579,46622,46622
10,1,-1,1,0,2.8,3.192308,5.809524,-0.30197,1.608696,1.930618,-0.647161,5.315789,46651,46651
11,1,-1,0,0,3.166667,3.230769,5.761905,-0.37308,2.565217,2.025808,-0.145557,4.736842,51769,51769
12,1,-1,0,0,2.566667,2.615385,5.809524,-0.30197,2.217391,1.794857,-1.36256,5.894737,62368,62368
13,1,-1,0,0,2.466667,2.846154,5.857143,-0.23086,2.086957,2.316976,1.388771,5.105263,65135,65135
14,1,-1,0,0,2.666667,2.884615,5.714286,-0.444189,2.304348,1.939895,-0.598276,6.052632,72847,72847
15,1,-1,0,0,3.033333,3.230769,6.666667,0.978008,2.565217,2.048301,-0.027026,5.368421,75812,75812
16,1,-1,0,0,3.1,3.692308,6.142857,0.1958,2.913043,1.902842,-0.793529,5.105263,78081,78081
17,1,-1,0,0,2.666667,3.038462,5.571429,-0.657519,2.347826,2.338348,1.501393,4.578947,81163,81163
18,1,-1,0,0,3.1,3.307692,6,-0.01753,2.434783,1.691641,-1.906465,5.421053,82284,82284
19,1,-1,0,0,2.7,2.923077,6.142857,0.1958,2.652174,1.821141,-1.224058,5.789474,84643,84643
20,1,-1,0,0,3.333333,3.576923,6.571429,0.835788,3.347826,2.376059,1.700111,4.105263,86160,86160
21,1,-1,0,0,2.4,2.692308,5.761905,-0.37308,2.782609,2.027397,-0.13718,5.210526,87429,87429
22,0,-1,0,0,3,3.615385,5.761905,-0.37308,2.173913,1.80084,-1.331037,5.947368,15506,20101
23,0,-1,0,0,3.533333,3.269231,5.619048,-0.586409,2.782609,1.925926,-0.671888,4.894737,27921,8359
24,0,-1,0,0,3.8,3.384615,6,-0.01753,3.043478,2.150246,0.51018,6.315789,29850,85926
25,0,-1,1,0,3.3,3.192308,5.380952,-0.941959,2.347826,1.858456,-1.027425,5.263158,36956,64202
26,0,-1,0,0,2.933333,2.961538,6.095238,0.12469,2.130435,1.926302,-0.669904,5.631579,39612,92241
27,0,-1,0,0,2.6,2.807692,5.428571,-0.870849,2.391304,2.069534,0.08486,5.421053,40918,874050
28,0,-1,0,0,2.566667,3.461538,6.142857,0.1958,2.652174,1.872015,-0.955976,5.578947,46045,486001
29,0,-1,0,0,2.7,3.5,5.47619,-0.799739,2.217391,1.634872,-2.205612,7,46621,45745
30,0,-1,0,0,3.233333,3.153846,6.52381,0.764679,2.130435,2.321311,1.411615,4.842105,49029,101438
31,0,-1,1,0,3.466667,3.807692,5.142857,-1.297508,2.304348,1.663509,-2.054708,6.315789,49258,44187
32,0,-1,0,0,2.566667,2.923077,5.190476,-1.226398,2.173913,1.877907,-0.924926,5.631579,52751,844189
33,0,-1,0,0,3.433333,3.115385,5.47619,-0.799739,2.608696,1.713441,-1.791589,5.157895,55142,75524
34,0,-1,0,0,2.4,3.076923,6.095238,0.12469,2.086957,2.115057,0.324747,5.894737,56804,181000
35,0,-1,0,0,2.9,2.538462,5.904762,-0.15975,2.130435,1.800382,-1.333448,6.157895,61286,139762
36,0,-1,0,0,3.233333,3.461538,6.285714,0.409129,3.391304,1.949605,-0.547111,5.736842,61790,65124
37,0,-1,0,0,2.6,2.538462,5.333333,-1.013068,1.956522,2.042857,-0.055713,5.578947,65876,119088
