stim,sent,race,served,glasses,trust,afro,zAfro,attract,maturity
5,0,-1,11,0,4.307692,6.066667,-0.646718,2.45,3.75
11,0,-1,30,0,4.435897,5.866667,-1.062585,2.65,4.95
12,1,-1,7,0,3.923077,5.866667,-1.062585,3,4.1
15,0,-1,18.5,0,3.666667,6.433333,0.115705,3.4,4.9
31,0,-1,30,0,4.74359,6.5,0.254327,2.8,5.65
35,0,-1,16,0,2.307692,6.366667,-0.022917,2.45,5.8
37,0,-1,26,0,4.641026,5.7,-1.409141,3.75,5.75
41,0,-1,27,1,4.435897,6.866667,1.01675,2.45,5.35
47,0,-1,16,0,4.615385,6.5,0.254327,3.15,3.2
56,0,-1,18.5,0,4.282051,6.866667,1.01675,2.85,4.35
59,1,-1,10.5,0,3.358974,7.133333,1.57124,2.95,5.8
67,1,-1,10,1,4.25641,6.733333,0.739506,2.85,6.35
71,1,-1,5,0,3.128205,7.266667,1.848485,3.15,4.9
98,1,-1,14,1,3.153846,7.166667,1.640551,2.4,6.05
112,1,-1,17,0,3.974359,5.633333,-1.547764,4.05,5.85
118,1,-1,17.5,0,3.076923,5.833333,-1.131896,3.3,5.65
124,0,-1,27,1,4.487179,6.2,-0.369473,3.5,6.1
125,0,1,14,0,3.589744,1.766667,0.173899,2.6,5.45
128,1,1,13.5,0,2.923077,1.633333,-0.012668,2.2,4
129,1,1,8,1,3.538462,1.766667,0.173899,2.5,4.5
137,1,1,10.5,0,3.512821,2.5,1.200016,3.5,5.65
146,0,1,17,0,3.641026,1.333333,-0.432443,2.9,6.15
148,0,1,26,1,4.769231,1.2,-0.61901,4.8,6.15
151,0,1,6.5,0,4.179487,1.533333,-0.152593,3.05,5.75
152,1,1,17.5,0,4.051282,1.366667,-0.385802,2.4,6.1
154,0,1,11,0,5.051282,1.333333,-0.432443,2.5,6.25
160,0,1,11,0,4.179487,1.133333,-0.712294,3.25,5.4
161,1,1,10.5,1,3.538462,2.266667,0.873524,2.7,5.1
168,1,1,10,0,4.538462,1.4,-0.33916,2.6,6
173,1,1,21,0,4.205128,1.4,-0.33916,2.55,5.45
179,0,1,11.5,0,4.487179,1.666667,0.033974,3.2,4.15
184,0,1,17.5,1,3.25641,4.666667,4.231727,2.55,5.45
186,0,1,9,1,3.948718,1.166667,-0.665652,2.85,6.6
194,1,1,15,1,4.25641,1.233333,-0.572369,2.9,4.85
197,0,1,18,0,4.641026,1.566667,-0.105952,2.85,4.2
201,1,1,11,0,3.769231,1.233333,-0.572369,2.4,5.55
205,1,1,21.5,1,3.564103,1.4,-0.33916,2.5,5.45
